SU_Name,Total_Count
Carbocyclic_Aro_CH,23652
Alkyl_CH2,15152
Alkyl_CH3,10518
Alcohol_Ether_C,5118
Alkyl_Substituted_Aro_C,3982
Halogen_X,3233
Hydroxyl_O,2579
Ether_O,2486
O_Substituted_Aro_C,2337
Amine_C,2282
Alkyl_CH,2057
Amine_Nitrogen,1883
X_Substituted_Aro_C,1839
Aromatic_Bridgehead_C,1819
Ester_Group,1797
Keto_Substituted_Aro_C,1698
Vinyllic_CH,1695
Aldehyde_Ketone_C,1504
Heterocyclic_N,1198
Carboxylic_Acid,1134
N_Substituted_Aro_C,1100
Amide_Group,953
Halogenated_C,802
Alkyl_Cq,759
Vinyllic_Cq,591
Aryl_Substituted_Aro_C,560
Thioether_S,527
Vinyllic_CH2,414
Nitrile_C,334
S_Substituted_Aro_C,260
Alkynyl_Cq,259
Heterocyclic_S,167
Alkynyl_CH,65
